时长,样本1,样本2,样本3
0,41.543,39.854,40.65
20,41.621,40.094,40.734
40,41.815,40.33,40.971
60,42.247,40.691,41.362
80,42.651,41.113,41.69
100,43.062,41.568,42.12
120,43.512,42.01,42.538
140,43.876,42.374,42.887
160,44.375,42.759,43.242
180,44.668,43.152,43.557
200,44.906,43.434,43.858
220,45.187,43.749,44.137
240,45.392,44.081,44.402
260,45.721,44.419,44.667
280,45.92,44.729,44.91
300,45.165,45.037,45.183
320,45.359,45.301,45.424
340,46.557,45.58,45.657
360,46.734,45.905,45.898
380,46.903,46.342,46.131
400,47.182,46.641,46.371
420,47.422,46.933,46.572
440,47.609,47.121,46.789